origin,destination,pop_origin,pop_destination
USA,USA,2.97E+08,2.97E+08
USA,CAN,2.97E+08,3.23E+07
USA,WEU,2.97E+08,4.00E+08
USA,JPK,2.97E+08,1.75E+08
USA,ANZ,2.97E+08,2.44E+07
USA,EEU,2.97E+08,1.19E+08
USA,FSU,2.97E+08,2.86E+08
USA,MDE,2.97E+08,2.59E+08
USA,CAM,2.97E+08,1.52E+08
USA,LAM,2.97E+08,3.74E+08
USA,SAS,2.97E+08,1.51E+09
USA,SEA,2.97E+08,5.92E+08
USA,CHI,2.97E+08,1.34E+09
USA,MAF,2.97E+08,1.56E+08
USA,SSA,2.97E+08,7.63E+08
USA,SIS,2.97E+08,4.21E+07
CAN,USA,3.23E+07,2.97E+08
CAN,CAN,3.23E+07,3.23E+07
CAN,WEU,3.23E+07,4.00E+08
CAN,JPK,3.23E+07,1.75E+08
CAN,ANZ,3.23E+07,2.44E+07
CAN,EEU,3.23E+07,1.19E+08
CAN,FSU,3.23E+07,2.86E+08
CAN,MDE,3.23E+07,2.59E+08
CAN,CAM,3.23E+07,1.52E+08
CAN,LAM,3.23E+07,3.74E+08
CAN,SAS,3.23E+07,1.51E+09
CAN,SEA,3.23E+07,5.92E+08
CAN,CHI,3.23E+07,1.34E+09
CAN,MAF,3.23E+07,1.56E+08
CAN,SSA,3.23E+07,7.63E+08
CAN,SIS,3.23E+07,4.21E+07
WEU,USA,4.00E+08,2.97E+08
WEU,CAN,4.00E+08,3.23E+07
WEU,WEU,4.00E+08,4.00E+08
WEU,JPK,4.00E+08,1.75E+08
WEU,ANZ,4.00E+08,2.44E+07
WEU,EEU,4.00E+08,1.19E+08
WEU,FSU,4.00E+08,2.86E+08
WEU,MDE,4.00E+08,2.59E+08
WEU,CAM,4.00E+08,1.52E+08
WEU,LAM,4.00E+08,3.74E+08
WEU,SAS,4.00E+08,1.51E+09
WEU,SEA,4.00E+08,5.92E+08
WEU,CHI,4.00E+08,1.34E+09
WEU,MAF,4.00E+08,1.56E+08
WEU,SSA,4.00E+08,7.63E+08
WEU,SIS,4.00E+08,4.21E+07
JPK,USA,1.75E+08,2.97E+08
JPK,CAN,1.75E+08,3.23E+07
JPK,WEU,1.75E+08,4.00E+08
JPK,JPK,1.75E+08,1.75E+08
JPK,ANZ,1.75E+08,2.44E+07
JPK,EEU,1.75E+08,1.19E+08
JPK,FSU,1.75E+08,2.86E+08
JPK,MDE,1.75E+08,2.59E+08
JPK,CAM,1.75E+08,1.52E+08
JPK,LAM,1.75E+08,3.74E+08
JPK,SAS,1.75E+08,1.51E+09
JPK,SEA,1.75E+08,5.92E+08
JPK,CHI,1.75E+08,1.34E+09
JPK,MAF,1.75E+08,1.56E+08
JPK,SSA,1.75E+08,7.63E+08
JPK,SIS,1.75E+08,4.21E+07
ANZ,USA,2.44E+07,2.97E+08
ANZ,CAN,2.44E+07,3.23E+07
ANZ,WEU,2.44E+07,4.00E+08
ANZ,JPK,2.44E+07,1.75E+08
ANZ,ANZ,2.44E+07,2.44E+07
ANZ,EEU,2.44E+07,1.19E+08
ANZ,FSU,2.44E+07,2.86E+08
ANZ,MDE,2.44E+07,2.59E+08
ANZ,CAM,2.44E+07,1.52E+08
ANZ,LAM,2.44E+07,3.74E+08
ANZ,SAS,2.44E+07,1.51E+09
ANZ,SEA,2.44E+07,5.92E+08
ANZ,CHI,2.44E+07,1.34E+09
ANZ,MAF,2.44E+07,1.56E+08
ANZ,SSA,2.44E+07,7.63E+08
ANZ,SIS,2.44E+07,4.21E+07
EEU,USA,1.19E+08,2.97E+08
EEU,CAN,1.19E+08,3.23E+07
EEU,WEU,1.19E+08,4.00E+08
EEU,JPK,1.19E+08,1.75E+08
EEU,ANZ,1.19E+08,2.44E+07
EEU,EEU,1.19E+08,1.19E+08
EEU,FSU,1.19E+08,2.86E+08
EEU,MDE,1.19E+08,2.59E+08
EEU,CAM,1.19E+08,1.52E+08
EEU,LAM,1.19E+08,3.74E+08
EEU,SAS,1.19E+08,1.51E+09
EEU,SEA,1.19E+08,5.92E+08
EEU,CHI,1.19E+08,1.34E+09
EEU,MAF,1.19E+08,1.56E+08
EEU,SSA,1.19E+08,7.63E+08
EEU,SIS,1.19E+08,4.21E+07
FSU,USA,2.86E+08,2.97E+08
FSU,CAN,2.86E+08,3.23E+07
FSU,WEU,2.86E+08,4.00E+08
FSU,JPK,2.86E+08,1.75E+08
FSU,ANZ,2.86E+08,2.44E+07
FSU,EEU,2.86E+08,1.19E+08
FSU,FSU,2.86E+08,2.86E+08
FSU,MDE,2.86E+08,2.59E+08
FSU,CAM,2.86E+08,1.52E+08
FSU,LAM,2.86E+08,3.74E+08
FSU,SAS,2.86E+08,1.51E+09
FSU,SEA,2.86E+08,5.92E+08
FSU,CHI,2.86E+08,1.34E+09
FSU,MAF,2.86E+08,1.56E+08
FSU,SSA,2.86E+08,7.63E+08
FSU,SIS,2.86E+08,4.21E+07
MDE,USA,2.59E+08,2.97E+08
MDE,CAN,2.59E+08,3.23E+07
MDE,WEU,2.59E+08,4.00E+08
MDE,JPK,2.59E+08,1.75E+08
MDE,ANZ,2.59E+08,2.44E+07
MDE,EEU,2.59E+08,1.19E+08
MDE,FSU,2.59E+08,2.86E+08
MDE,MDE,2.59E+08,2.59E+08
MDE,CAM,2.59E+08,1.52E+08
MDE,LAM,2.59E+08,3.74E+08
MDE,SAS,2.59E+08,1.51E+09
MDE,SEA,2.59E+08,5.92E+08
MDE,CHI,2.59E+08,1.34E+09
MDE,MAF,2.59E+08,1.56E+08
MDE,SSA,2.59E+08,7.63E+08
MDE,SIS,2.59E+08,4.21E+07
CAM,USA,1.52E+08,2.97E+08
CAM,CAN,1.52E+08,3.23E+07
CAM,WEU,1.52E+08,4.00E+08
CAM,JPK,1.52E+08,1.75E+08
CAM,ANZ,1.52E+08,2.44E+07
CAM,EEU,1.52E+08,1.19E+08
CAM,FSU,1.52E+08,2.86E+08
CAM,MDE,1.52E+08,2.59E+08
CAM,CAM,1.52E+08,1.52E+08
CAM,LAM,1.52E+08,3.74E+08
CAM,SAS,1.52E+08,1.51E+09
CAM,SEA,1.52E+08,5.92E+08
CAM,CHI,1.52E+08,1.34E+09
CAM,MAF,1.52E+08,1.56E+08
CAM,SSA,1.52E+08,7.63E+08
CAM,SIS,1.52E+08,4.21E+07
LAM,USA,3.74E+08,2.97E+08
LAM,CAN,3.74E+08,3.23E+07
LAM,WEU,3.74E+08,4.00E+08
LAM,JPK,3.74E+08,1.75E+08
LAM,ANZ,3.74E+08,2.44E+07
LAM,EEU,3.74E+08,1.19E+08
LAM,FSU,3.74E+08,2.86E+08
LAM,MDE,3.74E+08,2.59E+08
LAM,CAM,3.74E+08,1.52E+08
LAM,LAM,3.74E+08,3.74E+08
LAM,SAS,3.74E+08,1.51E+09
LAM,SEA,3.74E+08,5.92E+08
LAM,CHI,3.74E+08,1.34E+09
LAM,MAF,3.74E+08,1.56E+08
LAM,SSA,3.74E+08,7.63E+08
LAM,SIS,3.74E+08,4.21E+07
SAS,USA,1.51E+09,2.97E+08
SAS,CAN,1.51E+09,3.23E+07
SAS,WEU,1.51E+09,4.00E+08
SAS,JPK,1.51E+09,1.75E+08
SAS,ANZ,1.51E+09,2.44E+07
SAS,EEU,1.51E+09,1.19E+08
SAS,FSU,1.51E+09,2.86E+08
SAS,MDE,1.51E+09,2.59E+08
SAS,CAM,1.51E+09,1.52E+08
SAS,LAM,1.51E+09,3.74E+08
SAS,SAS,1.51E+09,1.51E+09
SAS,SEA,1.51E+09,5.92E+08
SAS,CHI,1.51E+09,1.34E+09
SAS,MAF,1.51E+09,1.56E+08
SAS,SSA,1.51E+09,7.63E+08
SAS,SIS,1.51E+09,4.21E+07
SEA,USA,5.92E+08,2.97E+08
SEA,CAN,5.92E+08,3.23E+07
SEA,WEU,5.92E+08,4.00E+08
SEA,JPK,5.92E+08,1.75E+08
SEA,ANZ,5.92E+08,2.44E+07
SEA,EEU,5.92E+08,1.19E+08
SEA,FSU,5.92E+08,2.86E+08
SEA,MDE,5.92E+08,2.59E+08
SEA,CAM,5.92E+08,1.52E+08
SEA,LAM,5.92E+08,3.74E+08
SEA,SAS,5.92E+08,1.51E+09
SEA,SEA,5.92E+08,5.92E+08
SEA,CHI,5.92E+08,1.34E+09
SEA,MAF,5.92E+08,1.56E+08
SEA,SSA,5.92E+08,7.63E+08
SEA,SIS,5.92E+08,4.21E+07
CHI,USA,1.34E+09,2.97E+08
CHI,CAN,1.34E+09,3.23E+07
CHI,WEU,1.34E+09,4.00E+08
CHI,JPK,1.34E+09,1.75E+08
CHI,ANZ,1.34E+09,2.44E+07
CHI,EEU,1.34E+09,1.19E+08
CHI,FSU,1.34E+09,2.86E+08
CHI,MDE,1.34E+09,2.59E+08
CHI,CAM,1.34E+09,1.52E+08
CHI,LAM,1.34E+09,3.74E+08
CHI,SAS,1.34E+09,1.51E+09
CHI,SEA,1.34E+09,5.92E+08
CHI,CHI,1.34E+09,1.34E+09
CHI,MAF,1.34E+09,1.56E+08
CHI,SSA,1.34E+09,7.63E+08
CHI,SIS,1.34E+09,4.21E+07
MAF,USA,1.56E+08,2.97E+08
MAF,CAN,1.56E+08,3.23E+07
MAF,WEU,1.56E+08,4.00E+08
MAF,JPK,1.56E+08,1.75E+08
MAF,ANZ,1.56E+08,2.44E+07
MAF,EEU,1.56E+08,1.19E+08
MAF,FSU,1.56E+08,2.86E+08
MAF,MDE,1.56E+08,2.59E+08
MAF,CAM,1.56E+08,1.52E+08
MAF,LAM,1.56E+08,3.74E+08
MAF,SAS,1.56E+08,1.51E+09
MAF,SEA,1.56E+08,5.92E+08
MAF,CHI,1.56E+08,1.34E+09
MAF,MAF,1.56E+08,1.56E+08
MAF,SSA,1.56E+08,7.63E+08
MAF,SIS,1.56E+08,4.21E+07
SSA,USA,7.63E+08,2.97E+08
SSA,CAN,7.63E+08,3.23E+07
SSA,WEU,7.63E+08,4.00E+08
SSA,JPK,7.63E+08,1.75E+08
SSA,ANZ,7.63E+08,2.44E+07
SSA,EEU,7.63E+08,1.19E+08
SSA,FSU,7.63E+08,2.86E+08
SSA,MDE,7.63E+08,2.59E+08
SSA,CAM,7.63E+08,1.52E+08
SSA,LAM,7.63E+08,3.74E+08
SSA,SAS,7.63E+08,1.51E+09
SSA,SEA,7.63E+08,5.92E+08
SSA,CHI,7.63E+08,1.34E+09
SSA,MAF,7.63E+08,1.56E+08
SSA,SSA,7.63E+08,7.63E+08
SSA,SIS,7.63E+08,4.21E+07
SIS,USA,4.21E+07,2.97E+08
SIS,CAN,4.21E+07,3.23E+07
SIS,WEU,4.21E+07,4.00E+08
SIS,JPK,4.21E+07,1.75E+08
SIS,ANZ,4.21E+07,2.44E+07
SIS,EEU,4.21E+07,1.19E+08
SIS,FSU,4.21E+07,2.86E+08
SIS,MDE,4.21E+07,2.59E+08
SIS,CAM,4.21E+07,1.52E+08
SIS,LAM,4.21E+07,3.74E+08
SIS,SAS,4.21E+07,1.51E+09
SIS,SEA,4.21E+07,5.92E+08
SIS,CHI,4.21E+07,1.34E+09
SIS,MAF,4.21E+07,1.56E+08
SIS,SSA,4.21E+07,7.63E+08
SIS,SIS,4.21E+07,4.21E+07
