time,acco2
1950,310.74999999964
1951,311.5178381723978
1952,312.285566887353
1953,313.05959173195527
1954,313.84434730199797
1955,314.6430929576258
1956,315.4583975847228
1957,316.29243579112085
1958,317.1471698067999
1959,318.02446214654833
1960,318.9146460649871
1961,319.81515194677564
1962,320.72687742739697
1963,321.66932408062524
1964,322.6357522136212
1965,323.6383681148565
1966,324.6770731768905
1967,325.75354517304976
1968,326.8437589899828
1969,327.9679616514391
1970,329.14796235614034
1971,330.35800220958015
1972,331.62182052291865
1973,332.9625141957816
1974,334.3938552010917
1975,335.8467199660469
1976,337.30755530512334
1977,338.86375430323466
1978,340.5004925473051
1979,342.2300985288073
1980,344.10096888420253
1981,346.0663770859616
1982,348.1541754886231
1983,350.3085842079043
1984,352.63931837096203
1985,355.2205671922186
1986,358.02144508399863
1987,361.0418543032291
1988,364.31011763589277
1989,367.87781727392445
1990,371.40419713775634
1991,374.914709496178
1992,378.31459274665343
1993,381.675553950756
1994,384.93748148313597
1995,388.29042629643214
1996,391.6183720284569
1997,394.90635636683754
1998,398.19094365878334
1999,401.5266293749511
2000,404.78245862074823
2001,408.1579115449889
2002,411.5720287734641
2003,414.99897468645145
2004,418.3709799468677
2005,421.6589782698472
2006,424.9920532215598
2007,428.16258381001546
2008,431.0764972309631
2009,434.36454063124825
2010,437.2131468655427
2011,440.0180414789555
2012,442.87743091215157
2013,445.69807530032796
2014,448.4281033796637
2015,451.28299170190013
2016,454.18549581053276
2017,457.2319060684759
2018,460.40063839368054
2019,463.69394212628623
2020,467.09837924202054
2021,470.5907650610269
2022,474.16909384564843
2023,477.8346158625808
2024,481.58589358172804
2025,485.4371717717261
2026,489.37102179878053
2027,493.38811137117375
2028,497.48717644935897
2029,501.6684269758623
2030,505.8904317548044
2031,510.1411017732076
2032,514.4227396785236
2033,518.7362740085467
2034,523.0830228706469
2035,527.4721709909564
2036,531.8955089823255
2037,536.3537610012852
2038,540.8476858665593
2039,545.3771189852669
2040,549.9236167658013
2041,554.4778481138877
2042,559.0414179225174
2043,563.6157542285638
2044,568.2011996158984
2045,572.8124076541568
2046,577.4351973884194
2047,582.0706653518398
2048,586.7194282178659
2049,591.3821943758501
2050,596.0959183973226
2051,600.8497928239013
2052,605.6435237156313
2053,610.4765341907317
2054,615.3486262607537
2055,620.2599605904614
2056,625.2091150261081
2057,630.1961896194001
2058,635.2211266517135
2059,640.2836875354325
2060,645.3836800551047
2061,650.5189301844817
2062,655.6895946388432
2063,660.8956793483142
2064,666.1371591740478
2065,671.4219426352757
2066,676.7409599446199
2067,682.0935570936724
2068,687.4798082064731
2069,692.8997767226139
2070,698.3678422869633
2071,703.8731987110651
2072,709.4149827713316
2073,714.9931672901595
2074,720.6074880962375
2075,726.2611822654411
2076,731.9505804165233
2077,737.6755855852309
2078,743.4351466254891
2079,749.2292659096831
2080,755.0390512104283
2081,760.858739204433
2082,766.6891452217183
2083,772.5301015057498
2084,778.3820317486909
2085,784.2473178867209
2086,790.1238987718835
2087,796.0120313470205
2088,801.9115470960415
2089,807.8216689827996
2090,813.731738602931
2091,819.6423740914383
2092,825.554307336726
2093,831.4677935298153
2094,837.3814962975358
2095,843.2947284812186
2096,849.2044471053407
2097,855.110561092335
2098,861.0121949630268
2099,866.9092275328352
2100,872.799892715961
