scen,xi,year,sccnice_fundnice,sccnice_migfundnice,sccnice_fundnice_2200,sccnice_migfundnice_2200
SSP1,1,2020,-0.19180141196834544,0.040363876634825074,-0.309733238710696,-0.24830037169606825
SSP2,1,2020,1.2226864815337009,1.429266815258361,1.0970450847385484,1.1913018605231103
SSP3,1,2020,4.819901099996791,4.962495036762719,4.397528361923971,4.554225518664042
SSP4,1,2020,1.5302342714999995,1.669260361668018,1.3974735172055799,1.4007807893252973
SSP5,1,2020,0.8858324080919511,1.0342530755232122,0.8401697375181233,0.8504147399633479
SSP1,0,2020,-0.13919407146168078,103.97068884961664,-0.2525111659646099,14.470206284460957
SSP2,0,2020,1.3051649649049457,95.22614650316913,1.1637506560143038,12.606076128868207
SSP3,0,2020,24.634502982739864,35.609615742663536,6.542190352427167,22.076474242827054
SSP4,0,2020,2.992379114386595,268.7256478742294,2.5461890508092995,63.709638668586024
SSP5,0,2020,1.678740766090403,1.4784233929619482e16,0.8528443335299405,372.36391745016186
SSP1,-1,2020,-0.06243851478227519,179.28914649883473,-0.1838191371231418,39.69454818400633
SSP2,-1,2020,-1.0771734195583205,220.6385384267756,1.323981242899157,20.814261925874757
SSP3,-1,2020,866.0024918845147,160.3043475912078,-19.187430548569512,78.31476246385029
SSP4,-1,2020,-38.035628455408435,1.18433932730654e8,-3.031455105709578,221.83255376741707
SSP5,-1,2020,-2.0084044615621135,2.3211922617773297e6,0.1163360753792162,346.8713230384624
